Year,Course,CourseName,ShnatonId,Semester,TestDates
2026,67521,"מודלים חישוביים, חישוביות וסיבוכיות ",10436,SemAB,"['2025-11-26T18:00:00', '2026-07-29T09:00:00', '2026-08-21T09:00:00', '2026-02-06T09:00:00', '2026-04-15T17:00:00']"
2026,67521,"מודלים חישוביים, חישוביות וסיבוכיות ",10436,SemAB,"['2025-11-26T18:00:00', '2026-07-29T09:00:00', '2026-08-21T09:00:00', '2026-02-06T09:00:00', '2026-04-15T17:00:00']"
2026,67521,"מודלים חישוביים, חישוביות וסיבוכיות ",10436,SemAB,"['2025-11-26T18:00:00', '2026-07-29T09:00:00', '2026-08-21T09:00:00', '2026-02-06T09:00:00', '2026-04-15T17:00:00']"
2026,67521,"מודלים חישוביים, חישוביות וסיבוכיות ",10436,SemAB,"['2025-11-26T18:00:00', '2026-07-29T09:00:00', '2026-08-21T09:00:00', '2026-02-06T09:00:00', '2026-04-15T17:00:00']"
2026,67521,"מודלים חישוביים, חישוביות וסיבוכיות ",10436,SemAB,"['2025-11-26T18:00:00', '2026-07-29T09:00:00', '2026-08-21T09:00:00', '2026-02-06T09:00:00', '2026-04-15T17:00:00']"
2026,67521,"מודלים חישוביים, חישוביות וסיבוכיות ",10436,SemAB,"['2025-11-26T18:00:00', '2026-07-29T09:00:00', '2026-08-21T09:00:00', '2026-02-06T09:00:00', '2026-04-15T17:00:00']"
2026,67521,"מודלים חישוביים, חישוביות וסיבוכיות ",10436,SemAB,"['2025-11-26T18:00:00', '2026-07-29T09:00:00', '2026-08-21T09:00:00', '2026-02-06T09:00:00', '2026-04-15T17:00:00']"
2026,67521,"מודלים חישוביים, חישוביות וסיבוכיות ",10436,SemAB,"['2025-11-26T18:00:00', '2026-07-29T09:00:00', '2026-08-21T09:00:00', '2026-02-06T09:00:00', '2026-04-15T17:00:00']"
2026,67521,"מודלים חישוביים, חישוביות וסיבוכיות ",10436,SemAB,"['2025-11-26T18:00:00', '2026-07-29T09:00:00', '2026-08-21T09:00:00', '2026-02-06T09:00:00', '2026-04-15T17:00:00']"
2026,67528,הנדסת תוכנה,14330,SemA,"[None, None]"
2026,67531,קריפטוגרפיה,1694,SemB,[]
2026,67539,מודלי שפה גדולים וסוכני בינה מלאכותית עבור המדע ,32254,SemB,[]
2026,67542,ראייה ממוחשבת -3D,2070,SemB,[]
2026,67548,תורת האינפורמציה והסקה סטטיסטית,10988,SemB,[]
2026,67561,יסודות תורת האינפורמציה,19454,SemA,"['2026-02-19T09:00:00', '2026-04-28T16:00:00']"
2026,67562,"דינמיקה, רשתות וחישוב",19894,SemB,[]
2026,67564,למידה חישובית בייזיאנית,20347,SemA,"['2026-01-29T09:00:00', '2026-04-23T15:00:00']"
2026,67577,מבוא ללמידת מכונה,10216,SemAB,"['2026-05-18T10:00:00', '2026-07-19T09:00:00', '2026-08-14T09:00:00', '2026-02-11T09:00:00', '2026-04-23T16:00:00']"
2026,67577,מבוא ללמידת מכונה,10216,SemAB,"['2026-05-18T10:00:00', '2026-07-19T09:00:00', '2026-08-14T09:00:00', '2026-02-11T09:00:00', '2026-04-23T16:00:00']"
2026,67594,מבוא לרשתות תקשורת,243,SemA,"['2026-01-26T09:00:00', '2026-02-26T09:00:00']"
2026,67596,מבוא לחישוב קוונטי,9481,SemB,[]
2026,67601,פרוייקט מחקרי: בקרת תעופה,3698,SemAB,[]
2026,67601,פרוייקט מחקרי: בקרת תעופה,3698,SemAB,[]
2026,67604,סלאם - ניווט מוידאו,20108,SemB,[]
2026,67607,מבוא ונושאים באבטחת מידע (סייבר),23741,SemA,[]
2026,67609,גרפיקה ממוחשבת,18340,SemA,"['2026-02-01T14:00:00', '2026-04-15T09:00:00']"
2026,67611,מבוא לתכנון פרונטאנד באמצעות ורילוג ,23602,SemB,"['2026-07-08T09:00:00', '2026-08-06T09:00:00']"
2026,67613,סדנא ברשתות תקשורת,7147,SemB,[]
2026,67618,סמינר מתקדם בלמידה,5006,SemA,[]
2026,67619,סמינר מתקדם בלמידה 2,4984,SemB,[]
2026,67629,ג'אם פיתוח משחקים,17355,SemB,[]
2026,67651,מבוא לעיבוד אותות,9790,SemB,"['2026-05-15T09:00:00', '2026-07-14T09:00:00', '2026-08-09T09:00:00']"
2026,67658,עיבוד שפה טבעית,4740,SemB,"['2026-07-31T09:00:00', '2026-08-21T09:00:00']"
2026,67664,קורס מתקדם בעיבוד שפה טבעית,19904,SemB,[]
2026,67678,מבוא לבקרה עם למידה,19471,SemB,"['2026-07-07T09:00:00', '2026-08-07T09:00:00']"
2026,67684,אינטראקציה 1,24122,SemB,"['2026-06-12T09:00:00', '2026-07-15T09:00:00', '2026-08-11T09:00:00']"
2026,67690,אלגוריתמים לומדים ככלי לעיצוב מוצרים אינטראקטיביים,17853,SemB,[]
2026,67692,סמינר באינטראקציה,23061,SemB,[]
2026,67705,עבוד תמונות רפואיות רובוטיקה רפואית וניתוחים מונחי מחשב,5463,SemA,[]
2026,67706,הוכחות מן הספר,460958,False,[]
2026,67706,הוכחות מן הספר,460958,False,[]
2026,67706,הוכחות מן הספר,460958,False,[]
2026,67720,תורת השיכונים המטריים ושימושיה האלגוריתמים,662,SemA,[]
2026,67720,תורת השיכונים המטריים ושימושיה האלגוריתמים,662,SemA,[]
2026,67720,תורת השיכונים המטריים ושימושיה האלגוריתמים,662,SemA,[]
2026,67721,מודלים גנרטיביים,56093,SemA,"['2026-02-08T09:00:00', '2026-04-19T16:00:00']"
2026,67731,אופטימיזציה קמורה ושימושים,18709,SemA,"['2026-02-09T09:00:00', '2026-04-26T16:00:00']"
2026,67743,יסודות אופטימיזציה ללמידת מכונה,1323,SemB,[]
2026,67803,השיטה ההסתברותית,13584,SemA,"[None, None]"
2026,67803,השיטה ההסתברותית,13584,SemA,"[None, None]"
2026,67803,השיטה ההסתברותית,13584,SemA,"[None, None]"
2026,67808,מערכות הפעלה,8019,SemB,"['2026-07-12T09:00:00', '2026-08-07T09:00:00']"
2026,67822,מבוא ללמידה עמוקה,20758,SemB,"['2026-07-24T09:00:00', '2026-08-18T09:00:00']"
2026,67826,כפל מטריצות: אלגוריתמים וסיבוכיות,32440,SemB,"[None, None]"
2026,67829,עיבוד ספרתי של תמונות,4744,SemA,"[None, None]"
2026,67865,כלים מתמטיים במדעי המחשב,11986,SemA,"['2026-01-25T09:00:00', '2026-02-22T09:00:00']"
2026,67877,סמינר בנושאים מתקדמים במסדי נתונים,8618,SemA,[]
2026,67879,מעבדה במציאויות העתיד – מדע וטכנולוגיות חכמות לאמנות ועיצוב חדשניים,8116,SemAB,[]
2026,67879,מעבדה במציאויות העתיד – מדע וטכנולוגיות חכמות לאמנות ועיצוב חדשניים,8116,SemAB,[]
2026,67922,תורת משחקים אלגוריתמית,658,SemA,"['2026-02-12T09:00:00', '2026-04-29T16:00:00']"
